R50 rescore — cloud K=3, post-hoc train-fit selection
model                        game    last    sel   best
gemma4:26b-a4b-it-qat        ar25    0.80   0.80   0.80
gemma4:26b-a4b-it-qat        dc22    0.00   0.00   0.00
gemma4:26b-a4b-it-qat        g50t    0.30   0.20   0.30
gemma4:26b-a4b-it-qat        ka59    0.40   0.40   0.40
gemma4:26b-a4b-it-qat        lf52    0.60   0.30   0.60
gemma4:26b-a4b-it-qat        lp85    0.00   0.00   0.00
gemma4:26b-a4b-it-qat        re86    0.40   0.40   0.40
gemma4:26b-a4b-it-qat        s5i5    0.00   0.00   0.00
gemma4:26b-a4b-it-qat        sb26    0.00   0.00   0.00
gemma4:26b-a4b-it-qat        sc25    0.30   0.00   0.30
gemma4:26b-a4b-it-qat        sk48    0.20   0.30   0.30
gemma4:26b-a4b-it-qat        sp80    0.30   0.00   0.30
gemma4:26b-a4b-it-qat        su15    0.60   0.60   0.60
gemma4:26b-a4b-it-qat        tn36    0.30   0.20   0.30
gemma4:26b-a4b-it-qat        tr87    0.00   0.00   0.00
gemma4:26b-a4b-it-qat        tu93    0.10   0.00   0.10
gemma4:26b-a4b-it-qat        vc33    0.00   0.00   0.00
gemma4:26b-a4b-it-qat        wa30    0.00   0.00   0.00
gemma4:31b-it-q8_0           ar25    0.80   0.80   0.80
gemma4:31b-it-q8_0           dc22    0.20   0.20   0.20
gemma4:31b-it-q8_0           g50t    0.00   0.00   0.00
gemma4:31b-it-q8_0           ka59    0.00   0.20   0.20
gemma4:31b-it-q8_0           lf52    1.00   1.00   1.00
gemma4:31b-it-q8_0           lp85    0.20   0.00   0.30
gemma4:31b-it-q8_0           re86    0.20   0.20   0.20
gemma4:31b-it-q8_0           s5i5    0.90   0.30   0.90
gemma4:31b-it-q8_0           sb26    0.20   0.90   0.90
gemma4:31b-it-q8_0           sc25    0.40   0.30   0.40
gemma4:31b-it-q8_0           sk48    0.40   0.00   0.40
gemma4:31b-it-q8_0           sp80    0.30   0.30   0.30
gemma4:31b-it-q8_0           su15    0.90   0.90   0.90
gemma4:31b-it-q8_0           tn36    0.90   0.30   0.90
gemma4:31b-it-q8_0           tr87    0.00   0.00   0.00
gemma4:31b-it-q8_0           tu93    0.30   0.30   0.30
gemma4:31b-it-q8_0           vc33    0.90   0.00   0.90
gemma4:31b-it-q8_0           wa30    0.20   0.00   0.30
gpt-oss:120b                 ar25    0.90   0.90   0.90
gpt-oss:120b                 dc22    0.30   0.40   0.40
gpt-oss:120b                 g50t    0.00   0.00   0.00
gpt-oss:120b                 ka59    0.00   0.00   0.00
gpt-oss:120b                 lf52    0.40   0.00   0.40
gpt-oss:120b                 lp85    0.30   0.20   0.30
gpt-oss:120b                 re86    0.20   0.20   0.20
gpt-oss:120b                 s5i5    0.00   0.00   0.00
gpt-oss:120b                 sb26    0.90   0.90   0.90
gpt-oss:120b                 sc25    0.40   0.10   0.40
gpt-oss:120b                 sk48    0.20   0.20   0.20
gpt-oss:120b                 sp80    0.30   0.30   0.30
gpt-oss:120b                 su15    0.10   0.00   0.10
gpt-oss:120b                 tn36    0.00   0.00   0.10
gpt-oss:120b                 tr87    0.10   0.10   0.10
gpt-oss:120b                 tu93    0.40   0.20   0.40
gpt-oss:120b                 vc33    0.00   0.20   0.20
gpt-oss:120b                 wa30    0.40   0.40   0.40
qwen3-coder:30b-a3b-q8_0     ar25    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     dc22    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     g50t    0.10   0.10   0.10
qwen3-coder:30b-a3b-q8_0     ka59    0.10   0.10   0.10
qwen3-coder:30b-a3b-q8_0     lf52    0.20   0.00   0.20
qwen3-coder:30b-a3b-q8_0     lp85    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     re86    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     s5i5    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     sb26    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     sc25    0.20   0.20   0.40
qwen3-coder:30b-a3b-q8_0     sk48    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     sp80    0.20   0.00   0.20
qwen3-coder:30b-a3b-q8_0     su15    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     tn36    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     tr87    0.30   0.10   0.30
qwen3-coder:30b-a3b-q8_0     tu93    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     vc33    0.00   0.00   0.00
qwen3-coder:30b-a3b-q8_0     wa30    0.00   0.00   0.00

gemma4:26b-a4b-it-qat        mean last=0.239 sel=0.178 best=0.244 (n=18)
gemma4:31b-it-q8_0           mean last=0.433 sel=0.317 best=0.494 (n=18)
gpt-oss:120b                 mean last=0.272 sel=0.228 best=0.294 (n=18)
qwen3-coder:30b-a3b-q8_0     mean last=0.061 sel=0.028 best=0.072 (n=18)
