R49 — executable-world-model LLM selection
============================================================

model                 game    valid   cell   exR0   exRK  exSel  exBest   gain     tok     sec
----------------------------------------------------------------------------------------------
gemma4:31b-it-q8_0    ar25     1.00  0.996   0.00   0.80   0.80    0.80  +0.80  384943  1465.9
gemma4:31b-it-q8_0    dc22     1.00  1.000   0.00   0.30   0.30    0.30  +0.30  136480   377.6
gemma4:31b-it-q8_0    g50t     1.00  0.989   0.00   0.00   0.00    0.00  +0.00  293743   261.7
gemma4:31b-it-q8_0    ka59     1.00  0.998   0.00   0.10   0.10    0.10  +0.10  161208   493.7
gemma4:31b-it-q8_0    lf52     1.00  1.000   1.00   1.00   1.00    1.00  +0.00   61231   174.3
gemma4:31b-it-q8_0    lp85     1.00  0.938   0.00   0.00   0.00    0.00  +0.00  475183   917.3
gemma4:31b-it-q8_0    re86     1.00  0.990   0.00   0.00   0.00    0.00  +0.00  369846  1165.2
gemma4:31b-it-q8_0    s5i5     1.00  1.000   0.00   0.00   0.00    0.00  +0.00   82059   185.4
gemma4:31b-it-q8_0    sb26     1.00  0.999   0.10   0.10   0.10    0.10  +0.00   62900   155.5
gemma4:31b-it-q8_0    sc25     1.00  0.996   0.00   0.00   0.00    0.00  +0.00  243491   376.5
gemma4:31b-it-q8_0    sk48     1.00  0.996   0.00   0.00   0.00    0.00  +0.00  309959  1170.0
gemma4:31b-it-q8_0    sp80     1.00  0.996   0.00   0.00   0.00    0.00  +0.00  139892   405.8
gemma4:31b-it-q8_0    su15     1.00  0.995   0.00   0.00   0.00    0.00  +0.00  255762  1041.9
gemma4:31b-it-q8_0    tn36     1.00  0.998   0.00   0.00   0.00    0.10  +0.00  112341   337.0
gemma4:31b-it-q8_0    tr87     1.00  0.994   0.00   0.10   0.10    0.10  +0.10  268896   871.9
gemma4:31b-it-q8_0    tu93     1.00  0.999   0.00   0.00   0.00    0.00  +0.00  130652   379.1
gemma4:31b-it-q8_0    vc33     1.00  1.000   0.00   0.00   0.00    0.00  +0.00  136107   471.5
gemma4:31b-it-q8_0    wa30     1.00  0.990   0.00   0.00   0.00    0.00  +0.00  335515  1072.4
gpt-oss:120b          ar25     1.00  0.992   0.00   0.00   0.00    0.00  +0.00  179148   129.9
gpt-oss:120b          dc22     1.00  0.999   0.00   0.30   0.30    0.30  +0.30   97400   110.8
gpt-oss:120b          g50t     0.00  0.000   0.00   0.00   0.10    0.10  +0.00  410382   279.5
gpt-oss:120b          ka59     1.00  0.998   0.00   0.00   0.00    0.00  +0.00   97634    58.7
gpt-oss:120b          lf52     1.00  1.000   0.00   0.10   0.10    0.30  +0.10   64185    68.3
gpt-oss:120b          lp85     0.00  0.000   0.00   0.00   0.00    0.00  +0.00  518772   277.5
gpt-oss:120b          re86     1.00  0.981   0.00   0.00   0.00    0.00  +0.00  168768    88.8
gpt-oss:120b          s5i5     1.00  1.000   0.00   0.00   0.00    0.00  +0.00   62428    78.4
gpt-oss:120b          sb26     1.00  0.999   0.10   0.10   0.00    0.10  +0.00   47259    37.9
gpt-oss:120b          sc25     1.00  0.997   0.10   0.20   0.20    0.20  +0.10  277929   216.9
gpt-oss:120b          sk48     1.00  0.998   0.00   0.00   0.00    0.00  +0.00  407920    73.0
gpt-oss:120b          sp80     1.00  0.987   0.00   0.00   0.00    0.00  +0.00  210904    70.0
gpt-oss:120b          su15     0.00  0.000   0.00   0.00   0.00    0.00  +0.00  191705   159.2
gpt-oss:120b          tn36     1.00  0.998   0.10   0.00   0.00    0.10  -0.10   48832    42.0
gpt-oss:120b          tr87     1.00  0.992   0.00   0.00   0.00    0.00  +0.00  178257    95.7
gpt-oss:120b          tu93     1.00  0.999   0.00   0.00   0.00    0.00  +0.00   95217    78.8
gpt-oss:120b          vc33     1.00  0.999   0.00   0.00   0.00    0.00  +0.00   63931    96.5
gpt-oss:120b          wa30     1.00  0.989   0.00   0.00   0.00    0.00  +0.00  214864   157.0

Per-model means (headline = exact-frame-accuracy @ final round):
  gemma4:31b-it-q8_0     exact=0.133 sel-exact=0.133 best-exact=0.139 cell=0.993 valid=1.00 gain=+0.072 (n=18)
  gpt-oss:120b           exact=0.039 sel-exact=0.039 best-exact=0.061 cell=0.829 valid=0.83 gain=+0.022 (n=18)
