R49 — executable-world-model LLM selection
============================================================

model                 game    valid   cell   exR0   exRK  exSel  exBest   gain     tok     sec
----------------------------------------------------------------------------------------------
gemma4:31b-it-q8_0    ar25     1.00  0.991   0.00   0.00   0.50    0.50  +0.00  300837   446.7
gemma4:31b-it-q8_0    dc22     1.00  0.999   0.00   0.30   0.30    0.30  +0.30  139596   258.4
gemma4:31b-it-q8_0    g50t     0.00  0.000   0.00   0.00   0.00    0.00  +0.00  379691   331.9
gemma4:31b-it-q8_0    ka59     1.00  0.996   0.00   0.00   0.00    0.00  +0.00  445101   277.4
gemma4:31b-it-q8_0    lf52     1.00  1.000   0.00   0.00   0.00    0.00  +0.00   91462   270.3
gemma4:31b-it-q8_0    lp85     1.00  0.928   0.00   0.00   0.00    0.00  +0.00  413620   420.6
gemma4:31b-it-q8_0    re86     1.00  0.988   0.00   0.00   0.00    0.00  +0.00  449312  1320.0
gemma4:31b-it-q8_0    s5i5     1.00  1.000   0.00   0.00   0.00    0.00  +0.00  116919   338.7
gemma4:31b-it-q8_0    sb26     1.00  1.000   0.00   0.00   1.00    1.00  +0.00   76084   186.4
gemma4:31b-it-q8_0    sc25     1.00  0.997   0.00   0.00   0.00    0.00  +0.00  398746  1458.6
gemma4:31b-it-q8_0    sk48     1.00  0.992   0.00   0.00   0.00    0.00  +0.00  233623   552.1
gemma4:31b-it-q8_0    sp80     1.00  0.994   0.00   0.00   0.00    0.00  +0.00  422711  1642.9
gemma4:31b-it-q8_0    su15     0.00  0.000   0.00   0.00   0.00    0.00  +0.00  448310  1588.5
gemma4:31b-it-q8_0    tn36     1.00  1.000   0.00   0.00   0.00    0.00  +0.00  105146   246.8
gemma4:31b-it-q8_0    tr87     1.00  0.993   0.00   0.00   0.00    0.00  +0.00  265839   251.5
gemma4:31b-it-q8_0    tu93     1.00  0.998   0.00   0.00   0.00    0.00  +0.00  189461   683.1
gemma4:31b-it-q8_0    vc33     1.00  1.000   0.00   0.00   0.00    0.00  +0.00  119193   344.2
gemma4:31b-it-q8_0    wa30     1.00  0.991   0.00   0.00   0.00    0.00  +0.00  267088   399.1
gpt-oss:120b          ar25     1.00  0.990   0.00   0.00   0.00    0.00  +0.00  229176   245.8
gpt-oss:120b          dc22     1.00  1.000   0.00   0.30   0.30    0.40  +0.30  184274   145.7
gpt-oss:120b          g50t     1.00  0.990   0.00   0.00   0.00    0.00  +0.00  290252   107.8
gpt-oss:120b          ka59     1.00  0.994   0.00   0.00   0.00    0.00  +0.00  173926   123.7
gpt-oss:120b          lf52     1.00  0.999   0.00   0.70   1.00    1.00  +0.70   75917    49.5
gpt-oss:120b          lp85     1.00  0.928   0.00   0.00   0.00    0.00  +0.00  339097   118.0
gpt-oss:120b          re86     1.00  0.976   0.00   0.00   0.00    0.00  +0.00  357748   103.8
gpt-oss:120b          s5i5     1.00  1.000   0.00   0.00   0.00    0.00  +0.00   78966    70.9
gpt-oss:120b          sb26     1.00  1.000   0.00   0.00   0.00    0.00  +0.00   56987    45.3
gpt-oss:120b          sc25     1.00  0.995   0.00   0.00   0.00    0.00  +0.00  260015   175.0
gpt-oss:120b          sk48     1.00  0.991   0.00   0.00   0.00    0.00  +0.00  150240    48.0
gpt-oss:120b          sp80     1.00  0.996   0.10   0.10   0.10    0.10  +0.00  133594    55.1
gpt-oss:120b          su15     1.00  0.994   0.00   0.00   0.00    0.00  +0.00  355616   310.4
gpt-oss:120b          tn36     1.00  1.000   0.00   0.00   0.00    0.00  +0.00   78213    49.8
gpt-oss:120b          tr87     1.00  0.990   0.00   0.00   0.00    0.00  +0.00  337781   249.9
gpt-oss:120b          tu93     1.00  0.997   0.00   0.00   0.00    0.00  +0.00  102483    73.5
gpt-oss:120b          vc33     0.00  0.000   0.00   0.00   0.00    0.00  +0.00   63485    57.8
gpt-oss:120b          wa30     1.00  0.990   0.00   0.00   0.00    0.00  +0.00  296180   176.5

Per-model means (headline = exact-frame-accuracy @ final round):
  gemma4:31b-it-q8_0     exact=0.017 sel-exact=0.100 best-exact=0.100 cell=0.881 valid=0.89 gain=+0.017 (n=18)
  gpt-oss:120b           exact=0.061 sel-exact=0.078 best-exact=0.083 cell=0.935 valid=0.94 gain=+0.056 (n=18)
