R49 — executable-world-model LLM selection
============================================================

model                 game    valid   cell   exR0   exRK  exSel  exBest   gain     tok     sec
----------------------------------------------------------------------------------------------
gemma4:31b-it-q8_0    ar25     1.00  0.992   0.00   0.00   0.00    0.00  +0.00  234135   336.1
gemma4:31b-it-q8_0    dc22     1.00  1.000   0.00   0.40   0.40    0.40  +0.40  117154   246.5
gemma4:31b-it-q8_0    g50t     1.00  0.991   0.00   0.00   0.00    0.00  +0.00  304666   332.9
gemma4:31b-it-q8_0    ka59     1.00  0.998   0.00   0.00   0.00    0.00  +0.00  171573   406.3
gemma4:31b-it-q8_0    lf52     1.00  1.000   1.00   1.00   1.00    1.00  +0.00   63103   156.6
gemma4:31b-it-q8_0    lp85     0.00  0.000   0.00   0.00   0.00    0.00  +0.00  510501  1870.4
gemma4:31b-it-q8_0    re86     1.00  0.980   0.00   0.00   0.00    0.00  +0.00  356766   677.7
gemma4:31b-it-q8_0    s5i5     1.00  1.000   0.00   0.00   0.00    0.00  +0.00  103371   289.6
gemma4:31b-it-q8_0    sb26     1.00  0.999   0.00   0.50   0.80    0.80  +0.50   65315   167.3
gemma4:31b-it-q8_0    sc25     1.00  0.994   0.00   0.00   0.00    0.00  +0.00  240601   381.0
gemma4:31b-it-q8_0    sk48     1.00  0.996   0.00   0.00   0.00    0.00  +0.00  169362   305.4
gemma4:31b-it-q8_0    sp80     1.00  0.996   0.00   0.00   0.00    0.00  +0.00  111181   342.5
gemma4:31b-it-q8_0    su15     1.00  0.995   0.00   0.00   0.00    0.00  +0.00  238935   931.5
gemma4:31b-it-q8_0    tn36     1.00  0.998   0.00   0.00   0.00    0.00  +0.00  103608   283.7
gemma4:31b-it-q8_0    tr87     1.00  0.995   0.00   0.00   0.00    0.00  +0.00  240151   559.1
gemma4:31b-it-q8_0    tu93     1.00  0.999   0.00   0.00   0.00    0.00  +0.00  125298   357.1
gemma4:31b-it-q8_0    vc33     1.00  1.000   0.00   0.00   0.00    0.00  +0.00  124270   406.4
gemma4:31b-it-q8_0    wa30     1.00  0.989   0.00   0.00   0.00    0.00  +0.00  382451  1393.2
gpt-oss:120b          ar25     1.00  0.992   0.00   0.00   0.80    0.80  +0.00  181774    71.2
gpt-oss:120b          dc22     1.00  0.999   0.30   0.30   0.30    0.30  +0.00   91576    85.1
gpt-oss:120b          g50t     1.00  0.990   0.00   0.00   0.00    0.00  +0.00  330251   126.7
gpt-oss:120b          ka59     1.00  0.996   0.00   0.00   0.00    0.00  +0.00  137733   116.0
gpt-oss:120b          lf52     1.00  1.000   0.00   1.00   1.00    1.00  +1.00  155664    62.5
gpt-oss:120b          lp85     0.00  0.000   0.00   0.00   0.00    0.00  +0.00  448354   139.6
gpt-oss:120b          re86     1.00  0.981   0.00   0.00   0.00    0.00  +0.00  157691    86.0
gpt-oss:120b          s5i5     1.00  1.000   0.10   0.00   0.00    0.10  -0.10   65403    51.6
gpt-oss:120b          sb26     1.00  0.999   0.10   0.00   0.00    0.10  -0.10   52727    41.0
gpt-oss:120b          sc25     1.00  0.995   0.00   0.00   0.00    0.00  +0.00  264397   165.2
gpt-oss:120b          sk48     1.00  0.995   0.00   0.00   0.00    0.00  +0.00  268455   218.5
gpt-oss:120b          sp80     1.00  0.996   0.00   0.00   0.00    0.00  +0.00  190513    93.4
gpt-oss:120b          su15     1.00  0.995   0.00   0.00   0.00    0.00  +0.00  112558    49.6
gpt-oss:120b          tn36     1.00  0.998   0.00   0.00   0.00    0.30  +0.00   51425    57.3
gpt-oss:120b          tr87     1.00  0.991   0.00   0.00   0.00    0.00  +0.00  440515    87.3
gpt-oss:120b          tu93     1.00  0.999   0.00   0.00   0.00    0.00  +0.00  105317    75.8
gpt-oss:120b          vc33     1.00  0.999   0.00   0.00   0.00    0.00  +0.00   53275    75.4
gpt-oss:120b          wa30     1.00  0.993   0.00   0.00   0.00    0.00  +0.00   85559    52.8

Per-model means (headline = exact-frame-accuracy @ final round):
  gemma4:31b-it-q8_0     exact=0.106 sel-exact=0.122 best-exact=0.122 cell=0.940 valid=0.94 gain=+0.050 (n=18)
  gpt-oss:120b           exact=0.072 sel-exact=0.117 best-exact=0.144 cell=0.940 valid=0.94 gain=+0.044 (n=18)
