[generated 2026-07-08 19:51:14 KST] R53 — GF_EWM_PLAN vs deployed baseline, full-25 @8000 (LIVE plan 18/25)
  BASE (deployed): mean=0.0023 levels=13 clearing=11/25
  PLAN (GF_EWM_PLAN): mean=0.0028 levels=7 clearing=7/18
game       base     plan   lvl b/p
AR25     0.0000   0.0000    0/0  
BP35     0.0000   0.0000    0/0  
CD82     0.0012   0.0012    1/1  
CN04     0.0001   0.0001    1/1  
DC22     0.0000   0.0000    0/0  
FT09     0.0000   0.0000    1/1  
G50T     0.0000   0.0000    0/0  
KA59     0.0000   0.0000    0/0  
LF52     0.0015   0.0015    1/1  
LP85     0.0000   0.0000    1/1  
LS20     0.0000   0.0000    0/0  
M0R0     0.0001   0.0001    1/1  
R11L     0.0476   0.0476    1/1  
RE86     0.0000   0.0000    0/0  
S5I5     0.0000   0.0000    0/0  
SB26     0.0000   0.0000    0/0  
SC25     0.0000   0.0000    0/0  
SK48     0.0000   0.0000    0/0  
SP80     0.0005       --    1/-  
SU15     0.0000       --    0/-  
TN36     0.0067       --    1/-  
TR87     0.0000       --    0/-  
TU93     0.0000       --    2/-  
VC33     0.0002       --    2/-  
WA30     0.0000       --    0/-  

score delta (plan-base) over common games: +0.0000
